id,agg,rank-elaborate,play-elaborate,reset-elaborate,rank-simple,play-simple,reset-simple,rank-baseline,play-baseline,reset-baseline,rank-static,play-static,reset-static,compTime,rationale,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
0,count,1,2,1,2,2,1,3,1,0,4,1,1,84048,The animation makes the transition much more clearer so 3rd and 4th chart are much better than the other two. ,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
1,sum,3,1,0,2,1,0,1,1,0,4,1,1,36792,"animation makes the transition clearer, but the animation of 3rd and 4th chart is confusing",Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
2,max,2,0,0,2,2,1,3,2,2,1,1,0,27328,it's better to show maximum by only deleting other lower dots,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
3,min,2,0,0,2,1,0,3,1,0,1,1,0,20878,it's better to show minimum by deleting any other upper dots,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
4,avg,2,1,0,1,1,0,3,1,0,4,1,0,217298,the animation of the 3rd and 4th chart makes the transition of average much clearer.,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
5,median,1,1,0,2,1,0,3,1,0,4,1,0,32462,the animation of the 4th chart makes the transition of median clearer because it shows the steps of finding a median,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
6,stdev,2,1,0,1,1,0,3,1,0,4,1,0,25891,the animation of the 3rd and 4th chart makes the transition make more sense,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
7,iqr,2,1,0,1,1,0,3,1,0,4,1,0,30068,sorry that I don't know about interquartile range with median,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
0,count,2,1,0,1,1,0,3,3,2,4,2,2,3832,How well I could see that all the points were accounted for. The static one was too fast.,Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
1,sum,3,1,0,1,2,1,2,2,1,4,2,2,25263,Knowing that the numbers were aggregated together when finding the two final points. ,Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
2,max,2,0,0,2,1,0,1,2,1,3,1,0,23181,How clear that the maximum was being shown. The right one was sort of distracting with the lines coming out.,Male,Associate or Bachelors degree,18-24,no,,Know well,Mean of the numbers: sum of numbers / # of numbers,Know well,Range between the 25th percentile and the 75th percentile,Know well,middle number of a sorted set of numbers,Know well,How spread out the data is from the mean.,8,< 1/w,>= 1/d,< 1/w,1AIyH43wdPSSbBFsVfE6n6J0A3P2,simple
