id,animAgg,textAgg,isError,playCount,resetCount,compTime,gender,education,age,vision_deficiency,vision_impairment_description,familiarity-average,familiarity-average-description,familiarity-interquartile-range,familiarity-interquartile-range-description,familiarity-median,familiarity-median-description,familiarity-standard-deviation,familiarity-standard-deviation-description,familiarity-agg-score,familiarity-stat-tool,familiarity-view-chart,familiarity-create-chart,userID,treatment
0,sum,max,FALSE,3,3,20675,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
1,avg,avg,FALSE,1,0,4722,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
10,sum,count,FALSE,2,1,15003,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
11,count,max,FALSE,2,1,11896,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
12,max,sum,FALSE,1,0,5676,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
13,max,count,FALSE,1,0,4156,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
14,avg,median,FALSE,2,1,7755,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
15,iqr,iqr,FALSE,1,0,7492,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
16,median,avg,FALSE,1,0,9148,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
17,min,min,FALSE,1,0,7087,Female,Associate or Bachelors degree,18-24,no,,Know well,sum of all numbers given / # numbers given,IDK,,Know well,i-th of the given number ascendingly if there are 2i-1 numbers given; the average of i-th and (i+1)-th of the number given ascendingly if there are 2i numbers given; (i is an positive integer),Know,deviation of all numbers compared to a standard,5,< 1/m,< 1/d,< 1/d,0xy50DISYjautLJOpPx3MOk8dIa2,elaborate
